NUMERACION,CONSOLA,TITULO DEL JUEGO,JAPON,AMERICA DEL NORTE,PAL
293,GAME BOY,GAKKEN SHIAZA JUKUGO 288,RELEASED,UNRELEASED,UNRELEASED
294,GAME BOY,GAME & WATCH GALLERY,RELEASED,RELEASED,RELEASED
295,GAME BOY,GAME BOY GALLERY,UNRELEASED,UNRELEASED,RELEASED
296,GAME BOY,GAME BOY GALLERY 2,RELEASED,UNRELEASED,UNRELEASED
297,GAME BOY,GAME BOY WARS,RELEASED,UNRELEASED,UNRELEASED
298,GAME BOY,GAME BOY WARS TURBO,RELEASED,UNRELEASED,UNRELEASED
299,GAME BOY,GAME DE HAKKEN!! TAMAGOTCHI 2,RELEASED,UNRELEASED,UNRELEASED
300,GAME BOY,GAME DE HAKKEN!! TAMAGOTCHI OSUCCHI TO MESUCCHI,RELEASED,UNRELEASED,UNRELEASED
301,GAME BOY,THE GAME OF HARMONY,UNRELEASED,RELEASED,UNRELEASED
302,GAME BOY,GAMERA: DAIKAIJUU KUUCHUU KESSEN,RELEASED,UNRELEASED,UNRELEASED
303,GAME BOY,GANBARE GOEMON: SARAWARETA EBISUMARU!,RELEASED,UNRELEASED,UNRELEASED
304,GAME BOY,GANSO!! YANCHA-MARU,RELEASED,UNRELEASED,UNRELEASED
305,GAME BOY,GARGOYLE'S QUEST,RELEASED,RELEASED,RELEASED
306,GAME BOY,GAUNTLET II,UNRELEASED,RELEASED,RELEASED
307,GAME BOY,GB GENJIN LAND - VIVA! CHIKKUN OKOKU,RELEASED,UNRELEASED,UNRELEASED
308,GAME BOY,GB PACHI-SLOT HISSHOUHOU JR.,RELEASED,UNRELEASED,UNRELEASED
309,GAME BOY,GEAR WORKS,UNRELEASED,RELEASED,RELEASED
310,GAME BOY,GEGEGE NO KITAROU: YOUKAI SOUZOUSHU ARAWARU!,RELEASED,UNRELEASED,UNRELEASED
311,GAME BOY,GEKITOU POWER MODELER,RELEASED,UNRELEASED,UNRELEASED
312,GAME BOY,GEM GEM,RELEASED,UNRELEASED,UNRELEASED
313,GAME BOY,GENJIN KOTTS,RELEASED,UNRELEASED,UNRELEASED
314,GAME BOY,GENKI BAKUHATSU GANBARUGER,RELEASED,UNRELEASED,UNRELEASED
315,GAME BOY,GEORGE FOREMAN'S KO BOXING,UNRELEASED,RELEASED,RELEASED
316,GAME BOY,THE GETAWAY: HIGH SPEED II,UNRELEASED,RELEASED,UNRELEASED
317,GAME BOY,GHOSTBUSTERS II,RELEASED,RELEASED,RELEASED
318,GAME BOY,GINGA,RELEASED,UNRELEASED,UNRELEASED
319,GAME BOY,GO GO ACKMAN,RELEASED,UNRELEASED,UNRELEASED
320,GAME BOY,GO! GO! HITCHHIKE,RELEASED,UNRELEASED,UNRELEASED
321,GAME BOY,GO! GO! TANK,RELEASED,RELEASED,UNRELEASED
322,GAME BOY,GOAL!,RELEASED,RELEASED,RELEASED
323,GAME BOY,GOD MEDICINE: FANTASY SEKAI NO TANJOU,RELEASED,UNRELEASED,UNRELEASED
324,GAME BOY,GODZILLA,RELEASED,RELEASED,RELEASED
325,GAME BOY,GOLF,RELEASED,RELEASED,RELEASED
326,GAME BOY,GOUKAKU BOY SERIES - 99 NENDO BAN EITANGO CENTER 1500,RELEASED,UNRELEASED,UNRELEASED
327,GAME BOY,GRADIUS: THE INTERSTELLAR ASSAULT,RELEASED,RELEASED,RELEASED
328,GAME BOY,GRANDER MUSASHI RV,RELEASED,UNRELEASED,UNRELEASED
329,GAME BOY,GREAT GREED,RELEASED,RELEASED,UNRELEASED
330,GAME BOY,GREMLINS 2: THE NEW BATCH,RELEASED,RELEASED,RELEASED
331,GAME BOY,HAL WRESTLING,RELEASED,RELEASED,UNRELEASED
332,GAME BOY,HAMMERIN' HARRY: GHOST BUILDING COMPANY,RELEASED,RELEASED,RELEASED
333,GAME BOY,HARVEST MOON GB,RELEASED,RELEASED,UNRELEASED
334,GAME BOY,HATRIS,RELEASED,RELEASED,UNRELEASED
335,GAME BOY,HAYAOSHI QUIZ: OUZA KETTEISEN,RELEASED,UNRELEASED,UNRELEASED
336,GAME BOY,HEAVYWEIGHT CHAMPIONSHIP BOXING,RELEASED,RELEASED,UNRELEASED
337,GAME BOY,HEIANKYO ALIEN,RELEASED,RELEASED,UNRELEASED
338,GAME BOY,HEISEI TENSAI BAKABON,RELEASED,UNRELEASED,UNRELEASED
339,GAME BOY,HERACLES NO EIKO - UGOKIDASHITA KIMIGAMI,RELEASED,UNRELEASED,UNRELEASED
340,GAME BOY,HERCULES,UNRELEASED,RELEASED,RELEASED
341,GAME BOY,HERO SHUGO!! PINBALL PARTY,RELEASED,UNRELEASED,UNRELEASED
342,GAME BOY,HIDEN INYO KIKOHO: CA DA,RELEASED,UNRELEASED,UNRELEASED
343,GAME BOY,HIGASHIO OSAMU KANSHUU PRO YAKYUU STADIUM '91,RELEASED,UNRELEASED,UNRELEASED
344,GAME BOY,HIGASHIO OSAMU KANSHUU PRO YAKYUU STADIUM '92,RELEASED,UNRELEASED,UNRELEASED
345,GAME BOY,HIGH STAKES GAMBLING,UNRELEASED,RELEASED,UNRELEASED
346,GAME BOY,HIT THE ICE,UNRELEASED,RELEASED,UNRELEASED
347,GAME BOY,HITORI DE DEKIRUMON! COOKING DENSETSU,RELEASED,UNRELEASED,UNRELEASED
348,GAME BOY,HOME ALONE,RELEASED,RELEASED,RELEASED
349,GAME BOY,HOME ALONE 2: LOST IN NEW YORK,UNRELEASED,RELEASED,RELEASED
350,GAME BOY,HON SHOGI,RELEASED,UNRELEASED,UNRELEASED
351,GAME BOY,HONG KONG,RELEASED,UNRELEASED,UNRELEASED
352,GAME BOY,HONMEI BOY,RELEASED,UNRELEASED,UNRELEASED
353,GAME BOY,HONO NO DOKYUJI - DODGE DANPEI,RELEASED,UNRELEASED,UNRELEASED
354,GAME BOY,HOOK,RELEASED,RELEASED,RELEASED
355,GAME BOY,HUDSON HAWK,RELEASED,RELEASED,UNRELEASED
356,GAME BOY,HUGO 2,UNRELEASED,UNRELEASED,RELEASED
357,GAME BOY,THE HUMANS,UNRELEASED,RELEASED,RELEASED
358,GAME BOY,THE HUNCHBACK OF NOTRE DAME,UNRELEASED,RELEASED,RELEASED
359,GAME BOY,THE HUNT FOR RED OCTOBER,RELEASED,RELEASED,RELEASED
360,GAME BOY,HYPER BLACK BASS '95,RELEASED,UNRELEASED,UNRELEASED
361,GAME BOY,HYPER LODE RUNNER: THE LABYRINTH OF DOOM,RELEASED,RELEASED,RELEASED
362,GAME BOY,IKARI NO YOUSAI 2,RELEASED,UNRELEASED,UNRELEASED
363,GAME BOY,IN YOUR FACE,UNRELEASED,RELEASED,UNRELEASED
364,GAME BOY,THE INCREDIBLE CRASH DUMMIES,UNRELEASED,RELEASED,RELEASED
365,GAME BOY,INDIANA JONES AND THE LAST CRUSADE,RELEASED,RELEASED,RELEASED
366,GAME BOY,UN INDIEN DANS LA VILLE,UNRELEASED,UNRELEASED,RELEASED
367,GAME BOY,INFOGENIUS PRODUCTIVITY PAK: BERLITZ FRENCH TRANSLATOR,UNRELEASED,RELEASED,RELEASED
368,GAME BOY,INFOGENIUS PRODUCTIVITY PAK: BERLITZ SPANISH TRANSLATOR,UNRELEASED,RELEASED,RELEASED
369,GAME BOY,INFOGENIUS PRODUCTIVITY PAK: FROMMER'S TRAVEL GUIDE,UNRELEASED,RELEASED,UNRELEASED
370,GAME BOY,INFOGENIUS PRODUCTIVITY PAK: PERSONAL ORGANIZER AND PHONE BOOK,UNRELEASED,RELEASED,RELEASED
371,GAME BOY,INFOGENIUS PRODUCTIVITY PAK: SPELL CHECKER AND CALCULATOR,UNRELEASED,RELEASED,UNRELEASED
372,GAME BOY,INITIAL D GAIDEN,RELEASED,UNRELEASED,UNRELEASED
373,GAME BOY,INTERNATIONAL SUPERSTAR SOCCER,RELEASED,RELEASED,RELEASED
374,GAME BOY,IPPATSU GYAKUTEN: DX BAKENOU,RELEASED,UNRELEASED,UNRELEASED
375,GAME BOY,IRON MAN AND X-O MANOWAR IN HEAVY METAL,UNRELEASED,RELEASED,UNRELEASED
376,GAME BOY,ISHIDA MASAO NO TSUMEGO PARADISE,RELEASED,UNRELEASED,UNRELEASED
377,GAME BOY,ISHIDO: THE WAY OF STONES,RELEASED,RELEASED,UNRELEASED
378,GAME BOY,ITSUDEMO! NYAN TO WONDERFUL,RELEASED,UNRELEASED,UNRELEASED
379,GAME BOY,J-LEAGUE FIGHTING SOCCER: THE KING OF ACE STRIKERS,RELEASED,UNRELEASED,UNRELEASED
380,GAME BOY,J-LEAGUE LIVE '95,RELEASED,UNRELEASED,UNRELEASED
381,GAME BOY,J-LEAGUE SUPPORTER SOCCER,RELEASED,UNRELEASED,UNRELEASED
382,GAME BOY,J-LEAGUE WINNING GOAL,RELEASED,UNRELEASED,UNRELEASED
383,GAME BOY,JACK NICKLAUS GOLF,UNRELEASED,RELEASED,RELEASED
384,GAME BOY,JAMES BOND 007,UNRELEASED,RELEASED,RELEASED
385,GAME BOY,JANKEN MAN,RELEASED,UNRELEASED,UNRELEASED
386,GAME BOY,JANSHIROU,RELEASED,UNRELEASED,UNRELEASED
387,GAME BOY,JANSHIROU II: SEKAI SAIKYOU NO JANSHI,RELEASED,UNRELEASED,UNRELEASED
388,GAME BOY,JANTAKU BOY,RELEASED,UNRELEASED,UNRELEASED
389,GAME BOY,JEEP JAMBOREE: OFF ROAD ADVENTURE,UNRELEASED,RELEASED,UNRELEASED
390,GAME BOY,JELLY BOY,UNRELEASED,UNRELEASED,RELEASED
391,GAME BOY,JEOPARDY!,UNRELEASED,RELEASED,UNRELEASED
392,GAME BOY,JEOPARDY! PLATINUM EDITION,UNRELEASED,RELEASED,UNRELEASED
393,GAME BOY,JEOPARDY! SPORTS EDITION,UNRELEASED,RELEASED,UNRELEASED
394,GAME BOY,JEOPARDY! TEEN TOURNAMENT,UNRELEASED,RELEASED,UNRELEASED
395,GAME BOY,THE JETSONS: ROBOT PANIC,UNRELEASED,RELEASED,RELEASED
396,GAME BOY,JIKUU SENKI MU,RELEASED,UNRELEASED,UNRELEASED
397,GAME BOY,JIMMY CONNORS TENNIS,RELEASED,RELEASED,RELEASED
398,GAME BOY,JINSEI GAME,RELEASED,UNRELEASED,UNRELEASED
399,GAME BOY,JINSEI GAME DENSETSU,RELEASED,UNRELEASED,UNRELEASED
400,GAME BOY,JOE & MAC,UNRELEASED,RELEASED,RELEASED
401,GAME BOY,JORDAN VS. BIRD: ONE ON ONE,RELEASED,RELEASED,RELEASED
402,GAME BOY,JUDGE DREDD,RELEASED,RELEASED,RELEASED
403,GAME BOY,THE JUNGLE BOOK,UNRELEASED,RELEASED,RELEASED
404,GAME BOY,JUNGLE NO OUJA TAR-CHAN,RELEASED,UNRELEASED,UNRELEASED
405,GAME BOY,JUNGLE STRIKE,UNRELEASED,RELEASED,RELEASED
406,GAME BOY,JUNGLE WARS,RELEASED,UNRELEASED,UNRELEASED
407,GAME BOY,JURASSIC PARK,UNRELEASED,RELEASED,RELEASED
408,GAME BOY,JURASSIC PARK PART 2: THE CHAOS CONTINUES,UNRELEASED,RELEASED,RELEASED
409,GAME BOY,KAERU NO TAME NI KANE WA NARU,RELEASED,UNRELEASED,UNRELEASED
410,GAME BOY,KAIJU-O GODZILLA,RELEASED,UNRELEASED,UNRELEASED
411,GAME BOY,KAISEN GAME: NAVY BLUE 90,RELEASED,UNRELEASED,UNRELEASED
412,GAME BOY,KAMEN RIDER SD: HASHIRE! MIGHTY RIDERS,RELEASED,UNRELEASED,UNRELEASED
413,GAME BOY,KANDUME MONSTERS,RELEASED,UNRELEASED,UNRELEASED
414,GAME BOY,KARAKURI KENGOU DEN MUSASHI LORD,RELEASED,UNRELEASED,UNRELEASED
415,GAME BOY,KARAMUCHOU NO DAIJIKEN,RELEASED,UNRELEASED,UNRELEASED
416,GAME BOY,KASEKI SOUSEI REBORN,RELEASED,UNRELEASED,UNRELEASED
417,GAME BOY,KATSUBA YOSOU KEIBA KIZOKU,RELEASED,UNRELEASED,UNRELEASED
418,GAME BOY,KATSUBA YOSOU KEIBA KIZOKU EX '94,RELEASED,UNRELEASED,UNRELEASED
419,GAME BOY,KATSUBA YOSOU KEIBA KIZOKU EX '95,RELEASED,UNRELEASED,UNRELEASED
420,GAME BOY,KATTOBI ROAD,RELEASED,UNRELEASED,UNRELEASED
421,GAME BOY,KEITAI KEIBA EIGHT SPECIAL,RELEASED,UNRELEASED,UNRELEASED
422,GAME BOY,"KEN GRIFFEY, JR. PRESENTS MAJOR LEAGUE BASEBALL",UNRELEASED,RELEASED,RELEASED
423,GAME BOY,KENYUU DENSETSU YAIBA,RELEASED,UNRELEASED,UNRELEASED
424,GAME BOY,KIBIHARA HINSHUTSU EIBUNPOU: GOHOU MONDAI 1000,RELEASED,UNRELEASED,UNRELEASED
425,GAME BOY,KID DRACULA,RELEASED,RELEASED,RELEASED
426,GAME BOY,KID ICARUS: OF MYTHS AND MONSTERS,UNRELEASED,RELEASED,RELEASED
427,GAME BOY,KIKOU KEISATSU METAL JACK,RELEASED,UNRELEASED,UNRELEASED
428,GAME BOY,KILLER INSTINCT,UNRELEASED,RELEASED,RELEASED
429,GAME BOY,THE KING OF FIGHTERS '95,RELEASED,RELEASED,RELEASED
430,GAME BOY,THE KING OF FIGHTERS: HEAT OF BATTLE,RELEASED,UNRELEASED,RELEASED
431,GAME BOY,KINGDOM CRUSADE,UNRELEASED,RELEASED,RELEASED
432,GAME BOY,KINGYO CHUUIHOU! 2 GYOPICHAN O SAGASE!,RELEASED,UNRELEASED,UNRELEASED
433,GAME BOY,KINGYO CHUUIHOU! WAPIKO NO WAKU WAKU STAMP RALLY!,RELEASED,UNRELEASED,UNRELEASED
434,GAME BOY,KININKOU MAROKU ONI,RELEASED,UNRELEASED,UNRELEASED
435,GAME BOY,KINNIKUMAN: THE DREAM MATCH,RELEASED,UNRELEASED,UNRELEASED
436,GAME BOY,KIRBY'S BLOCK BALL,RELEASED,RELEASED,RELEASED
437,GAME BOY,KIRBY'S DREAM LAND,RELEASED,RELEASED,RELEASED
438,GAME BOY,KIRBY'S DREAM LAND 2,RELEASED,RELEASED,RELEASED
439,GAME BOY,KIRBY'S PINBALL LAND,RELEASED,RELEASED,RELEASED
440,GAME BOY,KIRBY'S STAR STACKER,RELEASED,RELEASED,RELEASED
441,GAME BOY,KITCHEN PANIC,RELEASED,UNRELEASED,UNRELEASED
442,GAME BOY,KITERETSU DAIHYAKKA: BOUKEN OUEDO JURAKI,RELEASED,UNRELEASED,UNRELEASED
443,GAME BOY,KIZUCHIDA QUIZ DA GEN-SAN DA!,RELEASED,UNRELEASED,UNRELEASED
444,GAME BOY,KLAX,RELEASED,RELEASED,RELEASED
445,GAME BOY,KNIGHT QUEST,RELEASED,RELEASED,UNRELEASED
446,GAME BOY,KOI WA KAKEHIKI,RELEASED,UNRELEASED,UNRELEASED
447,GAME BOY,KONAMI GB COLLECTION VOL. 1,RELEASED,UNRELEASED,UNRELEASED
448,GAME BOY,KONAMI GB COLLECTION VOL. 2,RELEASED,UNRELEASED,UNRELEASED
449,GAME BOY,KONAMI GB COLLECTION VOL. 3,RELEASED,UNRELEASED,UNRELEASED
450,GAME BOY,KONAMI GB COLLECTION VOL. 4,RELEASED,UNRELEASED,UNRELEASED
451,GAME BOY,KONCHUU HAKASE,RELEASED,UNRELEASED,UNRELEASED
452,GAME BOY,KORO DICE,RELEASED,UNRELEASED,UNRELEASED
453,GAME BOY,KOUKIATSU BOY,RELEASED,UNRELEASED,UNRELEASED
454,GAME BOY,KOUKOU NYUUSHIDERU JUN: CHUGAKU EIJUKUGO 350,RELEASED,UNRELEASED,UNRELEASED
455,GAME BOY,KOUKOU NYUUSHIDERU JUN: CHUGAKU EITANGO 1700,RELEASED,UNRELEASED,UNRELEASED
456,GAME BOY,KOUKOU NYUUSHIDERU JUN: KANJI MONDAI NO SEIFUKU,RELEASED,UNRELEASED,UNRELEASED
457,GAME BOY,KOUKOU NYUUSHIDERU JUN: REKISHI NENDAI ANKI POINT 240,RELEASED,UNRELEASED,UNRELEASED
458,GAME BOY,KOUKOU NYUUSHIDERU JUN: RIKA ANKI POINT 250,RELEASED,UNRELEASED,UNRELEASED
459,GAME BOY,KRUSTY'S FUN HOUSE,RELEASED,RELEASED,RELEASED
460,GAME BOY,KUMA NO PUUTAROU: TAKARA SAGASHI DA OOIRI GAME BATTLE!,RELEASED,UNRELEASED,UNRELEASED
461,GAME BOY,KUNG-FU MASTER,RELEASED,RELEASED,RELEASED
462,GAME BOY,KUUSOU KAGAKU SEKAI GULLIVER BOY: KUUSOU KAGAKU PUZZLE – PURITTO PON,RELEASED,UNRELEASED,UNRELEASED
463,GAME BOY,KWIRK,RELEASED,RELEASED,RELEASED
464,GAME BOY,LAMBORGHINI AMERICAN CHALLENGE,UNRELEASED,RELEASED,RELEASED
465,GAME BOY,LAST ACTION HERO,UNRELEASED,RELEASED,RELEASED
466,GAME BOY,THE LAWNMOWER MAN,RELEASED,UNRELEASED,RELEASED
467,GAME BOY,LAZLO'S LEAP,RELEASED,RELEASED,UNRELEASED
468,GAME BOY,LEGEND: ASHITA E NO TSUBASA,RELEASED,UNRELEASED,UNRELEASED
469,GAME BOY,LEGEND OF THE RIVER KING GB,RELEASED,RELEASED,UNRELEASED
470,GAME BOY,THE LEGEND OF ZELDA: LINK'S AWAKENING,RELEASED,RELEASED,RELEASED
471,GAME BOY,LEMMINGS,RELEASED,RELEASED,RELEASED
472,GAME BOY,LEMMINGS 2: THE TRIBES,UNRELEASED,UNRELEASED,RELEASED
473,GAME BOY,LETHAL WEAPON,UNRELEASED,RELEASED,RELEASED
474,GAME BOY,LINGO,UNRELEASED,UNRELEASED,RELEASED
475,GAME BOY,THE LION KING,UNRELEASED,RELEASED,RELEASED
476,GAME BOY,LITTLE MASTER 2: RAIKOU NO KISHI,RELEASED,UNRELEASED,UNRELEASED
477,GAME BOY,LITTLE MASTER: LIKEBAHN NO DENSETSU,RELEASED,UNRELEASED,UNRELEASED
478,GAME BOY,THE LITTLE MERMAID,UNRELEASED,RELEASED,RELEASED
479,GAME BOY,LOCK 'N' CHASE,RELEASED,RELEASED,RELEASED
480,GAME BOY,LOONEY TUNES,RELEASED,RELEASED,RELEASED
481,GAME BOY,LOOPZ,RELEASED,RELEASED,RELEASED
482,GAME BOY,THE LOST WORLD: JURASSIC PARK,UNRELEASED,RELEASED,RELEASED
483,GAME BOY,LUCKY LUKE,UNRELEASED,UNRELEASED,RELEASED
484,GAME BOY,LUCLE,RELEASED,UNRELEASED,RELEASED
485,GAME BOY,LUNAR LANDER,RELEASED,UNRELEASED,UNRELEASED
486,GAME BOY,MACH GO GO GO,RELEASED,UNRELEASED,UNRELEASED
487,GAME BOY,MADDEN '95,UNRELEASED,RELEASED,RELEASED
488,GAME BOY,MADDEN '96,UNRELEASED,RELEASED,RELEASED
489,GAME BOY,MADDEN '97,UNRELEASED,RELEASED,UNRELEASED
490,GAME BOY,MAGICAL TALULUTO-KUN,RELEASED,UNRELEASED,UNRELEASED
491,GAME BOY,MAGICAL TALULUTO-KUN 2: RAIBA ZONE PANIC!!,RELEASED,UNRELEASED,UNRELEASED
492,GAME BOY,MAGNETIC SOCCER,UNRELEASED,UNRELEASED,RELEASED
493,GAME BOY,MAHOU KISHI RAYEARTH,RELEASED,UNRELEASED,UNRELEASED
494,GAME BOY,MAHOU KISHI RAYEARTH 2ND: THE MISSING COLORS,RELEASED,UNRELEASED,UNRELEASED
495,GAME BOY,MAHOUJIN GURUGURU: YUUSHA TO KUKURI NO DAIBOUKEN,RELEASED,UNRELEASED,UNRELEASED
496,GAME BOY,MAKAI-MURA GAIDEN: THE DEMON DARKNESS,RELEASED,RELEASED,UNRELEASED
497,GAME BOY,MALIBU BEACH VOLLEYBALL,RELEASED,RELEASED,UNRELEASED
498,GAME BOY,MARBLE MADNESS,UNRELEASED,RELEASED,RELEASED
499,GAME BOY,MARCHEN CLUB,RELEASED,UNRELEASED,UNRELEASED
500,GAME BOY,MARIO'S PICROSS,RELEASED,RELEASED,RELEASED
501,GAME BOY,MARMALADE BOY,RELEASED,UNRELEASED,UNRELEASED
502,GAME BOY,MARU'S MISSION,RELEASED,RELEASED,UNRELEASED
503,GAME BOY,MASAKARI DENSETSU: KINTAROU ACTION-HEN,RELEASED,UNRELEASED,UNRELEASED
504,GAME BOY,MASAKARI DENSETSU: KINTARO RPG-HEN,RELEASED,UNRELEASED,UNRELEASED
505,GAME BOY,MASTER KARATEKA,RELEASED,UNRELEASED,UNRELEASED
506,GAME BOY,MATTHIAS SAMMER SOCCER,RELEASED,UNRELEASED,RELEASED
507,GAME BOY,MAUI MALLARD IN COLD SHADOW,UNRELEASED,RELEASED,UNRELEASED
508,GAME BOY,DIE MAUS,UNRELEASED,UNRELEASED,RELEASED
509,GAME BOY,MAX,RELEASED,UNRELEASED,RELEASED
510,GAME BOY,MEDAROT: KABUTO VERSION,RELEASED,UNRELEASED,UNRELEASED
511,GAME BOY,MEDAROT: KUWAGATA VERSION,RELEASED,UNRELEASED,UNRELEASED
512,GAME BOY,MEDAROT PARTS COLLECTION,RELEASED,UNRELEASED,UNRELEASED
513,GAME BOY,MEDAROT PARTS COLLECTION 2,RELEASED,UNRELEASED,UNRELEASED
514,GAME BOY,MEGA MAN II,RELEASED,RELEASED,RELEASED
515,GAME BOY,MEGA MAN III,RELEASED,RELEASED,RELEASED
516,GAME BOY,MEGA MAN IV,RELEASED,RELEASED,RELEASED
517,GAME BOY,MEGA MAN V,RELEASED,RELEASED,RELEASED
518,GAME BOY,MEGA MAN: DR. WILY'S REVENGE,RELEASED,RELEASED,RELEASED
519,GAME BOY,MEGALIT,RELEASED,RELEASED,RELEASED
520,GAME BOY,MEGAMI TENSEI GAIDEN: LAST BIBLE,RELEASED,UNRELEASED,UNRELEASED
521,GAME BOY,MEGAMI TENSEI GAIDEN: LAST BIBLE II,RELEASED,UNRELEASED,UNRELEASED
522,GAME BOY,MEITANTEI CONAN: CHIKA YUUENCHI SATSUJIN JIKEN,RELEASED,UNRELEASED,UNRELEASED
523,GAME BOY,MEITANTEI CONAN: GIWAKU NO GOUKA RESSHA,RELEASED,UNRELEASED,UNRELEASED
524,GAME BOY,MERCENARY FORCE,RELEASED,RELEASED,RELEASED
525,GAME BOY,METAL MASTERS,UNRELEASED,RELEASED,UNRELEASED
526,GAME BOY,METROID II: RETURN OF SAMUS,RELEASED,RELEASED,RELEASED
527,GAME BOY,MICKEY MOUSE: MAGIC WANDS!,RELEASED,RELEASED,RELEASED
528,GAME BOY,MICKEY'S DANGEROUS CHASE,RELEASED,RELEASED,RELEASED
529,GAME BOY,MICKEY'S ULTIMATE CHALLENGE,UNRELEASED,RELEASED,RELEASED
530,GAME BOY,MICRO MACHINES,UNRELEASED,RELEASED,RELEASED
531,GAME BOY,MICRO MACHINES 2: TURBO TOURNAMENT,UNRELEASED,UNRELEASED,RELEASED
532,GAME BOY,MIDORI NO MAKIBAO,RELEASED,UNRELEASED,UNRELEASED
533,GAME BOY,MIGHTY MORPHIN POWER RANGERS,UNRELEASED,RELEASED,RELEASED
534,GAME BOY,MIGHTY MORPHIN POWER RANGERS: THE MOVIE,UNRELEASED,RELEASED,RELEASED
535,GAME BOY,MIKINEKO HOLMES NO KISHI MICHI,RELEASED,UNRELEASED,UNRELEASED
536,GAME BOY,MILON'S SECRET CASTLE,RELEASED,RELEASED,RELEASED
537,GAME BOY,MINER 2049ER,UNRELEASED,RELEASED,UNRELEASED
538,GAME BOY,MINESWEEPER,RELEASED,UNRELEASED,UNRELEASED
539,GAME BOY,MINI 4 BOY,RELEASED,UNRELEASED,UNRELEASED
540,GAME BOY,MINI 4 BOY II,RELEASED,UNRELEASED,UNRELEASED
541,GAME BOY,MINI-PUTT,RELEASED,UNRELEASED,UNRELEASED
542,GAME BOY,MINI-YONKU GB: LET'S & GO!!,RELEASED,UNRELEASED,UNRELEASED
543,GAME BOY,MINI-YONKU GB: LET'S & GO!! ALL-STAR BATTLE MAX,RELEASED,UNRELEASED,UNRELEASED
544,GAME BOY,MIRACLE ADVENTURE OF ESPARKS,RELEASED,UNRELEASED,UNRELEASED
545,GAME BOY,MISSILE COMMAND,UNRELEASED,RELEASED,RELEASED
546,GAME BOY,MOGU MOGU GOMBO: HARUKANARU CHOU RYOURI DENSETSU,RELEASED,UNRELEASED,UNRELEASED
547,GAME BOY,MOGURA DE PON!,RELEASED,UNRELEASED,UNRELEASED
548,GAME BOY,MOLE MANIA,RELEASED,RELEASED,RELEASED
549,GAME BOY,MOMOTARO COLLECTION,RELEASED,UNRELEASED,UNRELEASED
550,GAME BOY,MOMOTARO COLLECTION 2,RELEASED,UNRELEASED,UNRELEASED
551,GAME BOY,MOMOTARO DENGEKI: MOMOTARO THUNDERBOLT,RELEASED,UNRELEASED,UNRELEASED
552,GAME BOY,MOMOTARO DENGEKI 2: MOMOTARO THUNDERBOLT,RELEASED,UNRELEASED,UNRELEASED
553,GAME BOY,MOMOTARO DENSETSU GAIDEN,RELEASED,UNRELEASED,UNRELEASED
554,GAME BOY,MOMOTAROU DENTETSU JR.: ZENKOKU RAMEN MEGURI NO MAKI,RELEASED,UNRELEASED,UNRELEASED
555,GAME BOY,MONEY IDOL EXCHANGER,RELEASED,UNRELEASED,UNRELEASED
556,GAME BOY,MONOPOLY,RELEASED,RELEASED,RELEASED
557,GAME BOY,MONSTER RACE,RELEASED,UNRELEASED,UNRELEASED
558,GAME BOY,MONSTER RACE OKAWARI,RELEASED,UNRELEASED,UNRELEASED
559,GAME BOY,MONSTER MAKER,RELEASED,UNRELEASED,UNRELEASED
560,GAME BOY,MONSTER MAKER 2: URU NO HITEN,RELEASED,UNRELEASED,UNRELEASED
561,GAME BOY,MONSTER MAX,RELEASED,UNRELEASED,UNRELEASED
562,GAME BOY,MONSTER TRUCK,UNRELEASED,UNRELEASED,RELEASED
563,GAME BOY,MONSTER TRUCK WARS,RELEASED,UNRELEASED,UNRELEASED
564,GAME BOY,MONTEZUMA'S RETURN,UNRELEASED,RELEASED,RELEASED
565,GAME BOY,MORTAL KOMBAT,UNRELEASED,UNRELEASED,RELEASED
566,GAME BOY,MORTAL KOMBAT 3,RELEASED,RELEASED,RELEASED
567,GAME BOY,MORTAL KOMBAT II,UNRELEASED,RELEASED,RELEASED
568,GAME BOY,MOTOCROSS MANIACS,RELEASED,RELEASED,RELEASED
569,GAME BOY,MOUSE TRAP HOTEL,RELEASED,RELEASED,RELEASED
570,GAME BOY,MR. CHIN'S GOURMET PARADISE,UNRELEASED,RELEASED,UNRELEASED
571,GAME BOY,MR. DO!,UNRELEASED,RELEASED,UNRELEASED
572,GAME BOY,MR. GO NO BAKEN TEKICHUU SUBE,UNRELEASED,RELEASED,RELEASED
573,GAME BOY,MR. NUTZ,RELEASED,UNRELEASED,UNRELEASED
574,GAME BOY,MS. PAC-MAN,UNRELEASED,UNRELEASED,RELEASED
575,GAME BOY,MUHAMMAD ALI HEAVYWEIGHT BOXING,UNRELEASED,RELEASED,RELEASED
576,GAME BOY,MULAN,UNRELEASED,RELEASED,RELEASED
577,GAME BOY,MYSTERIUM,UNRELEASED,RELEASED,RELEASED
578,GAME BOY,MYSTICAL NINJA STARRING GOEMON,RELEASED,RELEASED,UNRELEASED
579,GAME BOY,NADA ASATAROU & KOJIMA TAKEO NO JISSEN MAHJONG KYOUSHITSU,RELEASED,RELEASED,RELEASED
580,GAME BOY,NADA ASATAROU NO POWERFUL MAHJONG: TSUGI NO ITTE 100 DAI,RELEASED,UNRELEASED,UNRELEASED
581,GAME BOY,NAIL 'N' SCALE,RELEASED,UNRELEASED,UNRELEASED
