NUMERACION,CONSOLA,TITULO DEL JUEGO,JAPON,AMERICA DEL NORTE,PAL
96,GAME BOY,BLACK BASS: LURE FISHING,RELEASED,RELEASED,UNRELEASED
97,GAME BOY,BLADES OF STEEL,RELEASED,RELEASED,RELEASED
98,GAME BOY,BLASTER MASTER BOY,RELEASED,RELEASED,RELEASED
99,GAME BOY,BLOCK KUZUSHI GB,RELEASED,UNRELEASED,UNRELEASED
100,GAME BOY,BLODIA,RELEASED,UNRELEASED,UNRELEASED
101,GAME BOY,THE BLUES BROTHERS,UNRELEASED,RELEASED,RELEASED
102,GAME BOY,THE BLUES BROTHERS: JUKEBOX ADVENTURE,UNRELEASED,RELEASED,RELEASED
103,GAME BOY,BO JACKSON: TWO GAMES IN ONE,UNRELEASED,RELEASED,UNRELEASED
104,GAME BOY,BOGGLE PLUS,UNRELEASED,RELEASED,UNRELEASED
105,GAME BOY,BOMB JACK,UNRELEASED,UNRELEASED,RELEASED
106,GAME BOY,BOMBERMAN GB,RELEASED,RELEASED,RELEASED
107,GAME BOY,BOMBERMAN GB 3,RELEASED,UNRELEASED,UNRELEASED
108,GAME BOY,BONK'S ADVENTURE,RELEASED,RELEASED,RELEASED
109,GAME BOY,BONK'S REVENGE,RELEASED,RELEASED,RELEASED
110,GAME BOY,BOOBY BOYS,RELEASED,UNRELEASED,UNRELEASED
111,GAME BOY,BOOMER'S ADVENTURE IN ASMIK WORLD,RELEASED,RELEASED,UNRELEASED
112,GAME BOY,BOULDER DASH,RELEASED,UNRELEASED,RELEASED
113,GAME BOY,BOXXLE,RELEASED,RELEASED,RELEASED
114,GAME BOY,BOXXLE II,RELEASED,RELEASED,UNRELEASED
115,GAME BOY,BRAIN DRAIN,RELEASED,RELEASED,RELEASED
116,GAME BOY,BRAINBENDER,RELEASED,RELEASED,RELEASED
117,GAME BOY,BRAM STOKER'S DRACULA,UNRELEASED,RELEASED,RELEASED
118,GAME BOY,BREAKTHRU!,UNRELEASED,RELEASED,UNRELEASED
119,GAME BOY,BUBBLE BOBBLE,RELEASED,RELEASED,RELEASED
120,GAME BOY,BUBBLE BOBBLE PART 2,RELEASED,RELEASED,RELEASED
121,GAME BOY,BUBBLE GHOST,RELEASED,RELEASED,RELEASED
122,GAME BOY,BUBSY II,UNRELEASED,RELEASED,RELEASED
123,GAME BOY,THE BUGS BUNNY CRAZY CASTLE,RELEASED,RELEASED,RELEASED
124,GAME BOY,THE BUGS BUNNY CRAZY CASTLE 2,RELEASED,RELEASED,RELEASED
125,GAME BOY,BURAI FIGHTER DELUXE,RELEASED,RELEASED,RELEASED
126,GAME BOY,BURGERTIME DELUXE,RELEASED,RELEASED,RELEASED
127,GAME BOY,BURNING PAPER,RELEASED,UNRELEASED,UNRELEASED
128,GAME BOY,BUST-A-MOVE 2: ARCADE EDITION,RELEASED,RELEASED,RELEASED
129,GAME BOY,BUST-A-MOVE 3 DX,UNRELEASED,UNRELEASED,RELEASED
130,GAME BOY,BUSTER BROTHERS,UNRELEASED,RELEASED,RELEASED
131,GAME BOY,CAESARS PALACE,RELEASED,RELEASED,RELEASED
132,GAME BOY,CAPCOM QUIZ: HATENA NO DAIBOUKEN,RELEASED,UNRELEASED,UNRELEASED
133,GAME BOY,CAPTAIN AMERICA AND THE AVENGERS,UNRELEASED,RELEASED,UNRELEASED
134,GAME BOY,CAPTAIN TSUBASA J: ZENKOKU SEIHA HENO CHOUSEN,RELEASED,UNRELEASED,UNRELEASED
135,GAME BOY,CAPTAIN TSUBASA VS,RELEASED,UNRELEASED,UNRELEASED
136,GAME BOY,CARD GAME,RELEASED,UNRELEASED,UNRELEASED
137,GAME BOY,CASINO FUNPAK,UNRELEASED,RELEASED,RELEASED
138,GAME BOY,CASPER,UNRELEASED,RELEASED,RELEASED
139,GAME BOY,CASTELIAN,RELEASED,RELEASED,RELEASED
140,GAME BOY,CASTLE QUEST,UNRELEASED,UNRELEASED,RELEASED
141,GAME BOY,CASTLEVANIA II: BELMONT'S REVENGE,RELEASED,RELEASED,RELEASED
142,GAME BOY,CASTLEVANIA LEGENDS,RELEASED,RELEASED,RELEASED
143,GAME BOY,CASTLEVANIA: THE ADVENTURE,RELEASED,RELEASED,RELEASED
144,GAME BOY,CATRAP,RELEASED,RELEASED,UNRELEASED
145,GAME BOY,CAVE NOIRE,RELEASED,UNRELEASED,UNRELEASED
146,GAME BOY,CENTIPEDE,UNRELEASED,RELEASED,RELEASED
147,GAME BOY,CHACHA-MARU PANIC,RELEASED,UNRELEASED,UNRELEASED
148,GAME BOY,CHACHAMARU BOUKENKI 3: ABYSS NO TOU,RELEASED,UNRELEASED,UNRELEASED
149,GAME BOY,CHALVO 55,RELEASED,UNRELEASED,UNRELEASED
150,GAME BOY,CHAMPIONSHIP POOL,UNRELEASED,RELEASED,UNRELEASED
151,GAME BOY,CHASE H.Q.,RELEASED,RELEASED,RELEASED
152,GAME BOY,THE CHESSMASTER,RELEASED,RELEASED,RELEASED
153,GAME BOY,CHIBI MARUKO-CHAN 2 - DELUXE MARUKO WORLD,RELEASED,UNRELEASED,UNRELEASED
154,GAME BOY,CHIBI MARUKO-CHAN 3 - MEZASE! GAME TAISHOU NO MAKI,RELEASED,UNRELEASED,UNRELEASED
155,GAME BOY,CHIBI MARUKO CHAN 4: KOREGA NIHON DAYO OUJI SAMA,RELEASED,UNRELEASED,UNRELEASED
156,GAME BOY,CHIBI MARUKO CHAN: MARUKO DELUXE GEKIJOU,RELEASED,UNRELEASED,UNRELEASED
157,GAME BOY,CHIBI MARUKO CHAN: OKOZUKAI DAISAKUSEN,RELEASED,UNRELEASED,UNRELEASED
158,GAME BOY,CHIKI CHIKI MACHINE MO RACE,RELEASED,UNRELEASED,UNRELEASED
159,GAME BOY,CHIKI CHIKI TENGOKU,RELEASED,UNRELEASED,UNRELEASED
